Date,USDCNY,EURCNY,JPYCNY,HKDCNY,GBPCNY,AUDCNY,NZDCNY,SGDCNY,CHFCNY,CADCNY,CNYMYR,CNYRUB,CNYZAR,CNYKRW,CNYAED,CNYSAR,CNYHUF,CNYPLN,CNYDKK,CNYSEK,CNYNOK,CNYTRY,CNYMXN,CNYTHB
17 Aug 2020,6.9362,8.2172,6.5087,0.89490,9.0872,4.9834,4.5347,5.0628,7.6323,5.2324,0.60405,10.4991,2.5039,170.82,0.52957,0.54071,42.1440,0.53486,0.9064,1.2519,1.2809,1.06221,3.1656,4.4841
18 Aug 2020,6.9325,8.2328,6.5388,0.89448,9.0862,5.0019,4.5421,5.0679,7.6474,5.2414,0.60428,10.6301,2.5254,170.83,0.52983,0.54097,42.3787,0.53377,0.9045,1.2524,1.2755,1.06508,3.1950,4.4941
19 Aug 2020,6.9168,8.2579,6.5659,0.89247,9.1598,5.0105,4.5659,5.0699,7.6564,5.2549,0.60446,10.5479,2.5039,171.07,0.53122,0.54245,42.2320,0.53009,0.9017,1.2490,1.2771,1.06645,3.2026,4.5039
20 Aug 2020,6.9274,8.2059,6.5332,0.89385,9.0820,4.9789,4.5472,5.0553,7.5724,5.2429,0.60260,10.5726,2.4920,170.78,0.53028,0.54147,42.4994,0.53609,0.9075,1.2554,1.2861,1.05129,3.1989,4.5174
21 Aug 2020,6.9107,8.1987,6.5352,0.89167,9.1320,4.9740,4.5143,5.0550,7.6144,5.2428,0.60432,10.6845,2.4973,171.52,0.53174,0.54299,42.5229,0.53449,0.9081,1.2598,1.2894,1.05691,3.1981,4.5448
24 Aug 2020,6.9194,8.1668,6.5381,0.89279,9.0639,4.9584,4.5261,5.0449,7.5901,5.2523,0.60371,10.8011,2.4763,171.95,0.53081,0.54204,42.9223,0.54005,0.9117,1.2693,1.3020,1.05826,3.1731,4.5595
25 Aug 2020,6.9183,8.1586,6.5277,0.89266,9.0409,4.9562,4.5125,5.0477,7.5857,5.2327,0.60359,10.7623,2.4512,171.87,0.53093,0.54214,43.1352,0.53866,0.9124,1.2705,1.3010,1.06601,3.1792,4.5516
26 Aug 2020,6.9079,8.1753,6.4952,0.89130,9.0828,4.9723,4.5242,5.0503,7.6088,5.2460,0.60339,10.8991,2.4363,171.80,0.53168,0.54289,43.1312,0.53791,0.9105,1.2673,1.2961,1.07073,3.1714,4.5522
27 Aug 2020,6.8903,8.1498,6.5022,0.88905,9.0984,4.9845,4.5631,5.0425,7.5849,5.2383,0.60554,10.9600,2.4501,172.20,0.53358,0.54484,43.6560,0.54140,0.9133,1.2660,1.2886,1.07001,3.1872,4.5433
28 Aug 2020,6.8891,8.1391,6.4581,0.88891,9.0888,4.9999,4.5735,5.0411,7.5739,5.2470,0.60577,10.8808,2.4760,172.19,0.53332,0.54457,43.7426,0.54184,0.9145,1.2669,1.2938,1.06846,3.2149,4.5393
31 Aug 2020,6.8605,8.1649,6.4957,0.88520,9.1522,5.0482,4.6193,5.0482,7.5848,5.2393,0.60754,10.7991,2.4190,172.30,0.53578,0.54710,43.3452,0.53728,0.9116,1.2584,1.2813,1.06920,3.1742,4.5392
01 Sep 2020,6.8498,8.1773,6.4646,0.88383,9.1518,5.0532,4.6134,5.0347,7.5753,5.2512,0.60734,10.7753,2.4748,173.29,0.53642,0.54773,43.4465,0.53770,0.9103,1.2627,1.2748,1.07432,3.2000,4.5374
02 Sep 2020,6.8376,8.1465,6.4520,0.88227,9.1541,5.0402,4.6226,5.0216,7.5141,5.2346,0.60636,10.7682,2.4348,173.44,0.53744,0.54878,43.6939,0.53875,0.9139,1.2699,1.2812,1.07798,3.1840,4.5598
03 Sep 2020,6.8319,8.0941,6.4304,0.88151,9.1186,5.0098,4.6231,5.0133,7.4957,5.2365,0.60662,11.0403,2.4613,173.71,0.53775,0.54913,44.2470,0.54500,0.9195,1.2763,1.2953,1.07974,3.1813,4.5794
04 Sep 2020,6.8359,8.0974,6.4441,0.88203,9.0694,4.9632,4.5755,5.0067,7.5145,5.2041,0.60648,11.0030,2.4515,173.94,0.53731,0.54868,44.3130,0.54793,0.9189,1.2784,1.3061,1.08769,3.1745,4.5955
07 Sep 2020,6.8386,8.0958,6.4347,0.88236,9.0594,4.9810,4.5904,5.0100,7.4861,5.2304,0.60658,11.0182,2.4305,173.73,0.53711,0.54845,44.5266,0.55073,0.9191,1.2776,1.3051,1.08725,3.1516,4.5900
08 Sep 2020,6.8364,8.0781,6.4314,0.88207,8.9992,4.9773,4.5755,5.0022,7.4603,5.2212,0.60800,11.0847,2.4464,173.78,0.53732,0.54871,44.5257,0.54874,0.9212,1.2829,1.3071,1.09043,3.1602,4.5947
09 Sep 2020,6.8423,8.0527,6.4572,0.88284,8.8713,4.9342,4.5254,4.9906,7.4535,5.1684,0.60866,11.1437,2.4816,173.68,0.53674,0.54812,44.3755,0.55264,0.9241,1.2910,1.3383,1.09345,3.1944,4.5877
10 Sep 2020,6.8331,8.0672,6.4321,0.88163,8.8831,4.9713,4.5653,4.9984,7.4919,5.1949,0.61014,11.0210,2.4317,173.58,0.53770,0.54911,44.2646,0.55051,0.9225,1.2796,1.3191,1.09544,3.1312,4.5766
11 Sep 2020,6.8389,8.0877,6.4425,0.88240,8.7611,4.9679,4.5490,4.9952,7.5144,5.1859,0.60879,10.9905,2.4690,173.59,0.53714,0.54855,44.2150,0.55053,0.9200,1.2811,1.3248,1.08924,3.1346,4.5784
14 Sep 2020,6.8361,8.0936,6.4412,0.88203,8.7511,4.9751,4.5611,4.9983,7.5198,5.1832,0.60732,10.9630,2.4465,173.60,0.53727,0.54869,44.1558,0.54947,0.9192,1.2838,1.3219,1.09382,3.1123,4.5801
15 Sep 2020,6.8222,8.0956,6.4526,0.88028,8.7630,4.9678,4.5695,4.9998,7.5097,5.1769,0.60729,11.0261,2.4417,173.50,0.53838,0.54980,44.1503,0.54954,0.9191,1.2854,1.3251,1.09764,3.0908,4.5890
16 Sep 2020,6.7825,8.0324,6.4348,0.87516,8.7346,4.9486,4.5497,4.9812,7.4632,5.1389,0.60949,11.0795,2.4239,174.01,0.54172,0.55325,44.5681,0.55462,0.9264,1.2966,1.3330,1.10473,3.1195,4.6013
17 Sep 2020,6.7675,7.9880,6.4427,0.87322,8.7682,4.9375,4.5493,4.9791,7.4308,5.1344,0.61050,11.0828,2.4069,173.78,0.54284,0.55438,44.9779,0.55717,0.9316,1.3016,1.3357,1.10705,3.0996,4.5981
18 Sep 2020,6.7591,8.0098,6.4521,0.87213,8.7707,4.9442,4.5713,4.9810,7.4412,5.1393,0.61101,11.0739,2.3929,172.98,0.54360,0.55511,45.0169,0.55596,0.9289,1.2979,1.3370,1.11660,3.0909,4.6102
21 Sep 2020,6.7595,8.0128,6.4679,0.87219,8.7482,4.9341,4.5718,4.9774,7.4233,5.1236,0.60840,11.1715,2.4100,171.97,0.54339,0.55492,44.9741,0.55615,0.9288,1.2971,1.3450,1.11923,3.1235,4.5971
22 Sep 2020,6.7872,7.9786,6.4770,0.87576,8.6938,4.9020,4.5227,4.9792,7.4125,5.0976,0.60825,11.1857,2.4760,171.41,0.54163,0.55310,45.3707,0.56307,0.9323,1.3044,1.3695,1.12505,3.1477,4.6153
23 Sep 2020,6.7986,7.9522,6.4727,0.87722,8.6561,4.8725,4.5054,4.9771,7.3868,5.1094,0.60862,11.1985,2.4717,171.34,0.54050,0.55193,45.6392,0.56365,0.9357,1.3121,1.3764,1.12885,3.1916,4.6196
24 Sep 2020,6.8028,7.9344,6.4601,0.87776,8.6512,4.8082,4.4522,4.9542,7.3647,5.0808,0.61087,11.2920,2.5157,171.59,0.53996,0.55140,46.0184,0.56843,0.9381,1.3250,1.3966,1.13254,3.2927,4.6368
25 Sep 2020,6.8121,7.9481,6.4588,0.87896,8.6874,4.8050,4.4603,4.9532,7.3511,5.1019,0.61180,11.2914,2.4860,171.70,0.53930,0.55072,45.6460,0.57211,0.9363,1.3355,1.3934,1.11866,3.2495,4.6339
28 Sep 2020,6.8252,7.9398,6.4654,0.88065,8.7101,4.8069,4.4721,4.9569,7.3515,5.1009,0.61062,11.4551,2.5088,171.93,0.53820,0.54961,45.7474,0.57332,0.9377,1.3370,1.4021,1.12319,3.2678,4.6301
29 Sep 2020,6.8171,7.9557,6.4608,0.87962,8.7597,4.8294,4.4716,4.9696,7.3736,5.0991,0.61200,11.5897,2.5011,171.66,0.53890,0.55033,46.0053,0.57652,0.9358,1.3253,1.3892,1.14372,3.2855,4.6448
30 Sep 2020,6.8101,7.9941,6.4429,0.87872,8.7577,4.8627,4.4915,4.9769,7.4051,5.0864,0.61032,11.5884,2.4865,171.63,0.53963,0.55109,45.6755,0.56628,0.9315,1.3166,1.3818,1.14855,3.2889,4.6428
09 Oct 2020,6.7796,7.9865,6.4043,0.87478,8.7840,4.8692,4.4716,4.9993,7.4054,5.1463,0.61145,11.3952,2.4413,170.06,0.54104,0.55254,44.7475,0.56165,0.9320,1.3048,1.3632,1.16955,3.1479,4.5944
12 Oct 2020,6.7126,7.9229,6.3474,0.86614,8.7362,4.8445,4.4673,4.9498,7.3644,5.1057,0.61684,11.4485,2.4613,171.22,0.54791,0.55956,44.9458,0.56392,0.9393,1.3124,1.3640,1.17363,3.1560,4.6356
